time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,max_follower_distance,min_follower_distance,optimal_follower_distance
41,46.8803062438965,74.4601669311523,61.5797424316406,58.128101348877,87.5756149291992,-6.181557379956205,16.134318060314943,0.47593518899929727,0.8794803555919845,-0.8794803555919845,0.4759351889992972,110.96338504464165,-20.963385044641655,3.7779591072874084,-3.6588009139233533,10.543680293320943,22.757749080314415,100,10.842718027656497,31.332003145627276,0.5,2.8,15,12,13.5
42,48.0007553100586,75.1039428710938,57.5966567993164,59.3528633117676,89.2628631591797,-5.871006175144003,17.171973279103856,0.5358760604826135,0.844296658646494,-0.844296658646494,0.5358760604826135,108.87528489641413,-18.87528489641413,4.647875352416211,-3.294358686943834,19.9233022423665,41.28672945717135,100,30.622400161290265,49.070808808175734,0.5,2.8,15,12,13.5
43,49.2518692016602,75.9424514770508,53.7738876342773,60.5194702148438,91.009407043457,-5.4955261747896165,17.993642618840617,0.590973375816855,0.8066910617303445,-0.8066910617303443,0.590973375816855,106.98345107642989,-16.983451076429887,5.314143154349473,-2.9641713963507668,29.025095208549033,57.78962346221251,100,49.75051050731592,66.34987032688021,0.5,2.8,15,12,13.5
44,50.7543334960938,77.0910720825195,50.1311340332031,61.7305946350098,93.4077758789063,-5.487150077693589,18.883969799636102,0.6410326659506129,0.7675135967422662,-0.7675135967422662,0.6410326659506129,106.20237734568664,-16.202377345686642,6.165023045211544,-2.827848313327714,38.959806003519475,76.2244229889115,100,70.00163672972135,85.83758728435654,0.5,2.8,15,12,13.5
45,52.5981178283691,78.6573944091797,48.0917091369629,62.4562759399414,95.4524536132813,-5.9144727074532915,18.554684249936102,0.6679402524866807,0.7442149011596243,-0.7442149011596242,0.6679402524866807,107.68014938843339,-17.680149388433392,5.974529391542092,-3.0857681907262458,35.91803330846932,72.60213804498748,100,63.19591568290515,80.47621755097212,0.5,2.8,15,12,13.5
46,54.7056770324707,80.5809555053711,45.3793029785156,62.9345703125,97.5886154174805,-6.325523550182264,17.80345281444513,0.7024102131801583,0.7117723599720663,-0.7117723599720662,0.7024102131801583,109.56000230503206,-19.560002305032057,5.393786817366298,-3.413864419204896,28.425356226967846,59.719396514395626,100,47.291892080161986,66.4095328277094,0.5,2.8,15,12,13.5
47,56.836109161377,82.7233123779297,41.5728073120117,63.1917037963867,99.807487487793,-6.581863467472517,16.998285079518674,0.7481131069341893,0.6635712314689918,-0.6635712314689918,0.7481131069341893,111.16677698011793,-21.16677698011793,4.728072370633065,-3.694299503384002,19.95879701696298,43.243392617681096,100,29.573555424450753,50.261632643401164,0.5,2.8,15,12,13.5
48,58.9270782470703,85.1120834350586,37.3653755187988,63.3857116699219,102.116050720215,-6.775994419855023,16.220364208492125,0.7947815194779387,0.6068956551964586,-0.6068956551964586,0.7947815194779388,112.67254435652316,-22.67254435652316,4.078803014825521,-3.9571054882578824,12.787770654120386,28.471406311095997,100,14.495645941118703,36.65543667536284,0.5,2.8,15,12,13.5
49,60.736629486084,87.5016250610352,32.900333404541,63.6141700744629,104.490921020508,-6.812203349377581,15.827517258340158,0.8396167037842817,0.5431793356953281,-0.5431793356953281,0.8396167037842815,113.28716591086518,-23.287165910865184,3.7312627812452206,-4.064377186027818,9.752569632619123,21.947349604650682,100,8.124883144360355,30.885395386116137,0.5,2.8,15,12,13.5
50,62.1953239440918,89.831413269043,26.3046131134033,63.9875068664551,107.503601074219,-6.224709111447504,16.636440061698437,0.8964507540360586,0.4431433691122793,-0.44314336911227936,0.8964507540360586,110.51389524921763,-20.513895249217626,4.2628303332724045,-3.580350145080703,15.121348961730284,32.36233695124928,100,20.2177175172346,40.26767832968653,0.5,2.8,15,12,13.5
51,63.3018836975098,92.1375427246094,20.581958770752,64.3483047485352,109.922744750977,-5.272704097400098,17.01784356597508,0.9361702768267582,0.3515468856157183,-0.3515468856157183,0.9361702768267581,107.21475105115668,-17.214751051156682,4.315959366105975,-3.004540857538389,16.758494079454664,33.536007246298134,100,25.10427375780184,41.92970256001682,0.5,2.8,15,12,13.5
52,64.1725997924805,94.5305862426758,15.9875335693359,64.7337417602539,112.161483764648,-4.316608408380752,17.103517754747962,0.9613216464320556,0.27542819772340266,-0.27542819772340266,0.9613216464320558,104.1645851351719,-14.164585135171905,4.139825048403459,-2.472186477877958,15.955024327966186,29.730279454882385,100,24.98792651787409,38.832170793990656,0.5,2.8,15,12,13.5
