time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,max_follower_distance,min_follower_distance,optimal_follower_distance
20,-7.66542959213257,39.6897392272949,340.957201004028,-11.1073312759399,61.7986373901367,3.96002236284564,22.021995551304325,0.9452751178240046,-0.32627435023736384,0.32627435023736384,0.9452751178240046,79.80594781316975,10.194052186830248,8.875210952657074,3.558395495606319,46.83753154806223,100.0,100,100,83.71155570842677,0.5,2.8,20,15,12,13.5
21,-8.71677875518799,42.6949615478516,337.745040893555,-13.7187786102295,63.3687553405762,3.200370024602412,21.02815693396737,0.9255077274772255,-0.37872872399640034,0.37872872399640034,0.9255077274772255,81.34630484617296,8.653695153827044,7.770302121360043,3.020709457963182,49.871066324756356,100.0,100,100,91.2841461672158,0.5,2.8,20,15,12,13.5
22,-9.98714160919189,45.7547073364258,333.77463722229,-16.4560451507568,64.6568069458008,2.549881398161796,19.814999054456543,0.8970628430338727,-0.4419029934815848,0.4419029934815848,0.8970628430338726,82.66722552320059,7.332774476799415,6.478390392441661,2.5596211585270865,53.00271424758659,99.99999999999758,100,100,98.83848925129733,0.5,2.8,20,15,12,13.5
23,-11.5298461914063,48.8374633789063,329.090822219849,-19.2979717254639,65.7560501098633,2.0258006997228906,18.50617418081852,0.8579826344035091,-0.5136786924352758,0.5136786924352758,0.857982634403509,83.7529216851447,6.247078314855301,5.116722356145075,2.1806417044832798,56.071558227642214,99.99999996650556,100,100,100,0.5,2.8,20,15,12,13.5
24,-13.2800807952881,51.7261619567871,324.032997131348,-22.9595737457275,66.6381912231445,0.9239720154280349,17.754083370678742,0.809355370765987,-0.5873192350095916,0.5873192350095917,0.8093553707659867,87.02085551734719,2.9791444826528135,4.278110153171671,1.0399176022982939,70.01540990315601,99.99998813124219,100,100,100,0.5,2.8,20,15,12,13.5
25,-15.3378705978394,54.5454406738281,319.007740020752,-25.8177356719971,66.8023452758789,0.12981994201205982,16.125831115914014,0.7547981995934838,-0.6559570701581279,0.6559570701581279,0.7547981995934838,89.53875406238193,0.4612459376180738,2.6263536608969567,0.1610052054576752,91.6644631885038,98.76841465524949,100,100,100,0.5,2.8,20,15,12,13.5
26,-17.6339149475098,57.195011138916,315.364185333252,-28.6675243377686,66.4684295654297,-1.335887868049685,14.351035819550052,0.71158700237733,-0.7025979917759841,0.7025979917759843,0.71158700237733,95.31813886825104,-5.31813886825104,0.9130782794658749,-1.8563806665853115,0.029347273438709336,0.04959932897434136,100,-5.139171319561453,5.256560413316291,0.5,2.8,20,15,12,13.5
27,-19.9852905273438,59.6246452331543,314.940296173096,-31.4277820587158,65.6325302124023,-3.82998718289544,12.343277220748563,0.7063695721071159,-0.7078432224731759,0.7078432224731759,0.7063695721071159,107.2385587751394,-17.238558775139396,-0.5761733852007396,-6.017392178494866,5.561435695645731e-07,1.4732443840978825e-06,100,-16.84869698749848,16.848699212072763,0.5,2.8,20,15,12,13.5
28,-22.2877616882324,61.9928092956543,317.322376251221,-33.8892135620117,64.3968124389648,-6.8995404041539805,9.631679962712147,0.7351793870726224,-0.6778726051578742,0.6778726051578742,0.7351793870726223,125.61547213798265,-35.61547213798266,-1.6520923073876048,-12.43214506920203,2.154480450459738e-10,7.896147357128964e-10,100,-34.810006193334786,34.810006194196575,0.5,2.8,20,15,12,13.5
29,-24.3679294586182,64.0086822509766,302.929050445557,-36.3795852661133,62.7876243591309,-7.554425214139197,9.418148294486949,0.5436000891518105,-0.8393443530960005,0.8393443530960006,0.5436000891518105,128.73357524970413,-38.73357524970413,-1.4264397291863613,-13.520568383526436,1.0055904101886073e-09,3.831889097711866e-09,100,-37.85759147186283,37.8575914758852,0.5,2.8,20,15,12,13.5
30,-26.3055000305176,65.1688842773438,276.552742004395,-39.4803695678711,60.6841659545898,-5.958907416187921,12.577015073777694,0.11411777006169962,-0.9934672287278252,0.9934672287278253,0.11411777006169962,115.35128788228485,-25.35128788228485,0.41725137233393284,-8.849268863336226,0.0004916299544495922,0.0015429090717095986,100,-24.776969557432533,24.778936077250332,0.5,2.8,20,15,12,13.5
31,-27.9434986114502,65.4406967163086,243.861236572266,-42.1373291015625,58.8835678100586,0.3665146172381162,15.63094464549637,-0.4405466291817434,-0.897729729660661,0.897729729660661,-0.4405466291817434,88.65677386589846,1.343226134101542,2.1352410750592785,0.4688743727781358,59.444356436659625,72.04485249527382,100,100,100,0.5,2.8,20,15,12,13.5
