time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,omega,v,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length
21,14.991660118103,42.1029815673828,18.6909809112549,15.7216892242432,51.459545135498,-2.3069127908067406,9.097053241330665,0.9472607345971421,0.3204638835976413,-0.3204638835976413,0.9472607345971422,104.22961876210337,-14.229618762103371,-2.483536987022635,0.0,25,-6.953903563663378,6.953903563663378,0.5,2.8
22,15.9859743118286,45.043773651123,18.6908950805664,16.8439044952393,52.937126159668,-1.7168392110091673,7.752001105992064,0.9472612146599864,0.32046246457407035,-0.32046246457407035,0.9472612146599864,102.487755052853,-12.487755052853004,-2.179524418548434,0.0,25,-6.102668371935614,6.102668371935614,0.5,2.8
23,16.9839820861816,47.9955215454102,18.6908092498779,17.8816986083984,54.3565521240234,-1.188090035782651,6.3132437813842746,0.9472616947207049,0.3204610455497803,-0.32046104554978033,0.9472616947207047,100.65784795393098,-10.657847953930982,-1.8601453797303658,0.0,25,-5.208407063245024,5.208407063245024,0.5,2.8
24,17.9849967956543,50.9561462402344,18.6907234191895,19.2167015075684,56.1955833435059,-0.5122807732207662,5.357832217033094,0.9472621747792969,0.32045962652477283,-0.32045962652477283,0.9472621747792969,95.46164367882808,-5.461643678828082,-0.9532366476628574,0.0,25,-2.6690626134560005,2.6690626134560005,0.5,2.8
25,18.9884433746338,53.9239883422852,18.6906394958496,20.3913841247559,57.7441482543945,0.1047516463126652,4.068278701740444,0.9472626441678655,0.32045823903295684,-0.32045823903295684,0.9472626441678657,88.52505154278676,1.4749484572132445,0.2574270687558182,0.0,25,0.720795792516291,-0.720795792516291,0.5,2.8
26,19.993860244751,56.8977012634277,18.6905422210693,21.6538562774658,59.3246154785156,0.7947323817826373,2.8308832327333233,0.9472631882293451,0.32045663080294684,-0.32045663080294684,0.9472631882293452,74.31862806075925,15.681371939240748,2.736915715695992,0.0,25,7.663364003948777,-7.663364003948777,0.5,2.8
27,21.0116004943848,59.741569519043,25.1036891937256,23.0149116516113,60.959659576416,1.2972972344379288,1.952951321989067,0.9055414835366615,0.4242577301525835,-0.4242577301525835,0.9055414835366614,56.40489573524818,33.595104264751825,5.86345181970708,0.0,25,16.417665095179824,-16.417665095179824,0.5,2.8
28,22.2698268890381,62.1640396118164,32.4229774475098,24.6902236938477,62.6907958984375,1.7606598736829493,1.742374726466757,0.8441129738608567,0.5361653544940967,-0.5361653544940967,0.8441129738608569,44.700930088331596,45.299069911668404,7.906179180497106,0.0,25,22.137301705391895,-22.137301705391895,0.5,2.8
29,23.801441192627,64.5974960327148,34.7578353881836,26.614725112915,64.2937622070313,2.4844682286626316,1.354340530952728,0.821568981308603,0.5701091202143186,-0.5701091202143186,0.8215689813086029,28.595812951713434,61.40418704828657,10.71705238503059,0.0,25,30.00774667808565,-30.00774667808565,0.5,2.8
30,25.4254970550537,66.9623718261719,35.1669235229492,29.2771816253662,66.2127075195313,3.5804426191474366,1.6055843960461733,0.8174775327413212,0.5759604877621051,-0.5759604877621051,0.8174775327413212,24.15298201763894,65.84701798236105,11.492472664121138,0.0,25,32.178923459539185,-32.178923459539185,0.5,2.8
31,27.1057014465332,69.3562088012695,35.2271575927734,31.5513381958008,67.6397094726563,4.621624735763786,1.1621707505115002,0.8168715837391246,0.576819569431841,-0.576819569431841,0.8168715837391247,14.115145678766774,75.88485432123322,13.244405603017665,0.0,25,37.08433568844946,-37.08433568844946,0.5,2.8
32,28.8175659179688,71.7832641601563,35.2372817993164,33.9473648071289,68.9580154418945,5.819930550818225,0.6521313877746029,0.8167696465432025,0.5769639022379929,-0.5769639022379929,0.8167696465432024,6.393404027239565,83.60659597276043,14.592103761093009,0.0,25,40.85789053106042,-40.85789053106042,0.5,2.8
33,30.5854053497314,74.2870330810547,35.2390899658203,36.2156715393066,70.0736923217773,7.029582134666409,-0.19264664866209502,0.8167514380448746,0.5769896779420143,-0.5769896779420143,0.8167514380448746,-1.5698056651324723,91.56980566513248,15.981946042679178,0.0,25,44.749448919501695,-44.749448919501695,0.5,2.8
34,32.3374938964844,76.7680206298828,35.2393646240234,38.2352256774902,71.0193176269531,8.133929402525228,-1.2922920921039291,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-9.027513680699395,99.0275136806994,17.28356163791933,0.0,25,48.39397258617412,-48.39397258617412,0.5,2.8
35,34.1376724243164,79.3169326782227,35.2393646240234,40.4439163208008,72.0418319702148,9.34830282687754,-2.303266517491451,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-13.841050698837627,103.84105069883763,18.123682334250752,0.0,25,50.746310535902104,-50.746310535902104,0.5,2.8
36,35.9152755737305,81.8339004516602,35.2393646240234,42.114315032959,72.7845687866211,10.284463640146587,-3.814223569149329,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-20.34842642349993,110.34842642349993,19.259433654847843,0.0,25,53.92641423357396,-53.92641423357396,0.5,2.8
37,37.7020645141602,84.3638381958008,35.2393646240234,43.9576110839844,73.388557434082,11.44187603728276,-5.354635695661152,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-25.078927358066153,115.07892735806615,20.08506182061634,0.0,25,56.23817309772574,-56.23817309772574,0.5,2.8
38,39.496280670166,86.9042816162109,35.2393646240234,45.9686431884766,73.7168884277344,12.895334872956708,-7.036274169630875,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-28.618866232311156,118.61886623231115,20.702897707365505,0.0,25,57.96811358062341,-57.96811358062341,0.5,2.8
39,41.2965469360352,89.4532928466797,35.2393646240234,48.0640563964844,73.7174301147461,14.606846345041344,-8.94743539053951,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-31.489585827127538,121.48958582712753,21.20393279567614,0.0,25,59.371011827893184,-59.371011827893184,0.5,2.8
40,43.1016998291016,92.0092544555664,35.2393646240234,50.0661315917969,73.4810943603516,16.378820062803356,-11.114417647428034,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-34.16021747094469,124.16021747094469,21.670045948601718,0.0,25,60.676128656084806,-60.676128656084806,0.5,2.8
41,44.9108467102051,94.5708236694336,35.2393646240234,52.4278755187988,73.0132446289063,18.578108288790876,-13.269846593226644,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-35.5372065533427,125.5372065533427,21.910375881120324,0.0,25,61.3490524671369,-61.3490524671369,0.5,2.8
42,46.7232055664063,97.136962890625,35.2393646240234,54.1131896972656,72.6066284179688,20.189605555405496,-15.77114461007433,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-37.995234632105934,127.99523463210595,22.33938271192922,0.0,25,62.55027159340181,-62.55027159340181,0.5,2.8
43,48.5381889343262,99.7068176269531,35.2393646240234,55.6502418518066,72.2226486206055,21.666949207214994,-18.344049572613052,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-40.252500180054234,130.25250018005423,22.73334987096453,0.0,25,63.653379638700684,-63.653379638700684,0.5,2.8
44,50.3553047180176,102.279678344727,35.2393646240234,57.0726356506348,71.865234375,23.035310430369833,-20.96509981427357,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-42.30623142977103,132.30623142977103,23.091793593551092,0.0,25,64.65702206194305,-64.65702206194305,0.5,2.8
45,52.1741485595703,104.855010986328,35.2393646240234,58.6509437561035,71.4299621582031,24.575952902242335,-23.562794913319088,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-43.79429543926656,133.79429543926656,23.351509758012345,0.0,25,65.38422732243455,-65.38422732243455,0.5,2.8
46,53.9943923950195,107.43229675293,35.2393646240234,60.4876251220703,70.8091583251953,26.43465544288341,-26.165345997343437,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-44.706650962686815,134.7066509626868,23.51074583633674,0.0,25,65.83008834174287,-65.83008834174287,0.5,2.8
47,55.8508071899414,110.060829162598,35.2393646240234,63.0014038085938,69.7264099121094,29.112941785705058,-28.817234927366236,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-44.70753398722016,134.70753398722016,23.51089995319157,0.0,25,65.83051986893639,-65.83051986893639,0.5,2.8
48,57.6731338500977,112.641075134277,35.2393646240234,65.1331634521484,68.5794296264648,31.516256434847435,-31.68290117480591,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-45.15107825025385,135.15107825025385,23.588313030874268,0.0,25,66.04727648644794,-66.04727648644794,0.5,2.8
49,59.496208190918,115.222373962402,35.2393646240234,67.2319641113281,67.2341156005859,34.00708599892971,-34.730864690099104,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-45.60327564908701,135.603275649087,23.667236365660187,0.0,25,66.26826182384852,-66.26826182384852,0.5,2.8
50,61.3549613952637,117.854194641113,35.2393646240234,69.0379486083984,65.9533615112305,36.221517801378226,-37.95690214252924,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-46.340175010191345,136.34017501019133,23.79584956673132,0.0,25,66.62837878684769,-66.62837878684769,0.5,2.8
51,63.1440544128418,120.387405395508,35.2393646240234,70.6096878051758,64.8041229248047,38.168744033752795,-41.08994951387243,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-47.11077185945188,137.1107718594519,23.930344088982235,0.0,25,67.00496344915025,-67.00496344915025,0.5,2.8
52,65.003662109375,123.020484924316,35.2393646240234,72.0041961669922,63.779052734375,39.89960372064089,-44.34609777582527,0.8167486721258632,0.5769935931885545,-0.5769935931885546,0.8167486721258632,-48.021271868474685,138.02127186847468,24.08925631895109,0.0,25,67.44991769306304,-67.44991769306304,0.5,2.8
