time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,lin_val_err_deriv_coeff,max_follower_distance,min_follower_distance,optimal_follower_distance
15.80000000000009,0.05,19.9297027587891,38.2663192749023,62.1996726989746,33.1003494262695,44.5766410827637,0.5607063970107609,14.593550057978865,0.46639169348388704,0.8845783109760446,-0.8845783109760446,0.46639169348388704,87.79969125923469,2.2003087407653084,1.1043176820549796,23.225315439981735,19.202214545320803,94.51180078733398,100,100,-26.626454141307242,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
15.85000000000009,0.05,20.0885162353516,38.3461227416992,62.564582824707,33.1003494262695,44.5766410827637,0.4654059979417564,14.419103961193073,0.4607484966403251,0.8875307447315166,-0.8875307447315165,0.46074849664032513,88.15130363928228,1.8486963607177245,0.9266129700153076,19.236767144044553,5.238132803291041,23.563894638750625,100,64.33921360990684,-43.386682396742664,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
15.900000000000091,0.05,20.2867031097412,38.4440879821777,63.486888885498,33.1003494262695,44.5766410827637,0.23243872799437693,14.203651350772965,0.4464025911498823,0.8948322337816575,-0.8948322337816575,0.4464025911498823,89.06245449693205,0.9375455030679518,0.7055531204028203,9.49990190051424,-1.8670609792818331,-6.049940775504425,100,22.865603362876207,-30.33384728000354,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
15.950000000000092,0.05,20.4833927154541,38.5391731262207,64.7630462646484,33.6779403686523,44.7686653137207,-0.00923711276509298,14.591181424490252,0.42636278416127693,0.904552251825313,-0.9045522518253131,0.4263627841612769,90.036271737718,-0.03627173771799619,1.0911843483194215,-0.7197630924473328,69.101311153669,90.6192785115214,100,100,100,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.000000000000092,0.05,20.6402225494385,38.6138801574707,65.7336654663086,33.6779403686523,44.7686653137207,-0.2527533335567327,14.415255183499749,0.4109787714315684,0.9116449141154679,-0.9116449141154678,0.41097877143156847,91.00450635898896,-1.0045063589889622,0.9174708688119217,-10.857143634406091,6.329505757562333,21.79514886450246,100,-17.740990661212386,43.05901369146172,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.050000000000093,0.05,20.8012676239014,38.6897201538086,66.5082473754883,34.3062019348145,44.9467315673828,-0.355117224074581,14.879762576359923,0.3986170596305614,0.9171174623631836,-0.9171174623631836,0.3986170596305613,91.3671492665418,-1.3671492665418017,1.3839995489006842,-14.443339895344042,30.84692430005307,121.22228964353961,100,21.252496893142826,100,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.100000000000094,0.05,21.0036029815674,38.7843132019043,67.0338897705078,34.3062019348145,44.9467315673828,-0.48346347855972915,14.652672182472951,0.39018659252413307,0.9207358052201545,-0.9207358052201543,0.3901865925241331,91.88978303354286,-1.8897830335428554,1.160645927861351,-19.972195250514943,15.749872274257717,72.12718493025373,100,-24.422402152926406,87.42189124995727,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.150000000000095,0.05,21.1666736602783,38.8602409362793,67.1006546020508,34.3062019348145,44.9467315673828,-0.49404654121849845,14.472335315869277,0.38911342560740736,0.9211898512315844,-0.9211898512315844,0.38911342560740736,91.95516431429064,-1.9551643142906412,0.9807655695355777,-20.49725519348574,7.813118780940416,36.225628815739654,100,-41.76607697987923,73.0185521036409,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.200000000000095,0.05,21.3293418884277,38.9361686706543,66.8017196655273,34.936279296875,45.140251159668,-0.34249728343886865,14.950654861200093,0.393914322645849,0.9191471625449659,-0.9191471625449659,0.3939143226458491,91.31233161811853,-1.3123316181185345,1.454577398505414,-13.518313626762467,32.18666371041499,122.64053867685294,100,26.522049265895077,100,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.250000000000096,0.05,21.5312557220459,39.0309753417969,66.0336990356445,34.936279296875,45.140251159668,-0.13745101230287293,14.730886439035682,0.40619926265673445,0.9137845254856996,-0.9137845254856997,0.40619926265673445,90.53460016720743,-0.5346001672074294,1.231527689297824,-5.326840369394889,31.750987149926004,79.8639287652979,100,48.58682126554632,78.4171273341577,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.300000000000097,0.05,21.6944313049316,39.1076164245605,65.3460540771484,34.936279296875,45.140251159668,0.040938108448558275,14.551204216841903,0.417136684305382,0.9088437635846505,-0.9088437635846506,0.417136684305382,89.83880546160259,0.1611945383974103,1.0512618040141426,1.9309034293753218,31.274756328688348,53.54201226205329,100,67.9560422596276,57.1429830551258,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.350000000000097,0.05,21.901424407959,39.2049446105957,64.7055206298828,35.5122985839844,45.3171539306641,0.28933497519543927,14.91748249136076,0.42727075018553695,0.9041237227481028,-0.9041237227481028,0.42727075018553695,88.88884772474209,1.1111522752579077,1.4202881543194792,11.96755722182628,32.48444369273491,116.97808845628148,100,98.4780476065834,31.45972716435623,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.400000000000098,0.05,22.069522857666,39.2840270996094,64.1210632324219,35.5122985839844,45.3171539306641,0.439267988695045,14.727996544737344,0.43647106094836896,0.899718296443173,-0.8997182964431731,0.4364710609483689,88.29163845087524,1.70836154912476,1.2345457543721814,18.09838567106717,18.75925748150711,81.98114392920374,100,88.1939948420023,-13.156964915973852,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.4500000000001,0.05,22.239372253418,39.3636512756348,63.951416015625,35.5122985839844,45.3171539306641,0.4798237777955032,14.539069309359036,0.439133121951877,0.8984220061890725,-0.8984220061890728,0.4391331219518769,88.10978940095428,1.890210599045716,1.0469848161082442,19.857716398920164,11.422551610732786,52.167077579856006,100,78.44670913844203,-32.75650269551089,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.5000000000001,0.05,22.4099540710449,39.4430618286133,64.0819625854492,36.0810661315918,45.5061569213867,0.5221671029000099,14.946162336623159,0.4370849585466188,0.8994202238177106,-0.8994202238177106,0.4370849585466188,87.99909788281913,2.000902117180871,1.4552809092990167,20.99203660186875,25.45481042662735,119.37203341618878,100,100,-7.868081631977795,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.5500000000001,0.05,22.5809745788574,39.5220832824707,64.4656448364258,36.0810661315918,45.5061569213867,0.4196533102508049,14.760945103460532,0.4310522191960883,0.9023269830422492,-0.9023269830422491,0.4310522191960883,88.3715210342735,1.6284789657265009,1.2669092652518152,16.923391646768955,19.867069564862195,84.10927894103102,100,87.11963574067747,-7.651357481228679,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.6000000000001,0.05,22.7530632019043,39.6010856628418,65.193229675293,36.0810661315918,45.5061569213867,0.2316902206797815,14.575728053990744,0.4195593465508982,0.9077279078676512,-0.9077279078676513,0.41955934655089816,89.0893248102164,0.9106751897836033,1.0775693674306197,9.286007501299839,18.401787220999257,59.01785526821416,100,62.804395445638065,10.802753438358966,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.6500000000001,0.05,22.9688186645508,39.6989059448242,65.9566345214844,36.689208984375,45.6923446655273,0.11663857674487943,14.971867407560216,0.4074279620090011,0.9132373490901432,-0.9132373490901432,0.4074279620090011,89.55364532699261,0.4463546730073915,1.472321738032111,4.512136769338856,50.624878217780086,118.85678643986869,100,100,88.61577348141138,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.700000000000102,0.05,23.1862754821777,39.7960357666016,66.7488632202148,36.689208984375,45.6923446655273,-0.0869844166341851,14.733910054957429,0.39476208562962767,0.9187833780327912,-0.9187833780327911,0.39476208562962767,90.33825250986881,-0.33825250986880917,1.2341668171740459,-3.8160515737269396,36.14451421011045,79.32095906946779,100,61.60408401378547,82.97397282665634,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.750000000000103,0.05,23.3639850616455,39.8746185302734,67.5470352172852,36.689208984375,45.6923446655273,-0.28746949000902955,14.537017963393067,0.3819248728663796,0.9241933734267951,-0.9241933734267953,0.38192487286637966,91.13287622614601,-1.13287622614601,1.0398600397561886,-12.140828101558855,13.828300688536308,50.12797738057501,100,-6.337717307292177,61.650920061437404,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.800000000000104,0.05,23.544490814209,39.9537124633789,67.9871826171875,37.2894401550293,45.8617095947266,-0.32550487158373365,14.957342981435716,0.374814000197791,0.9271000298003071,-0.927100029800307,0.374814000197791,91.24668612788692,-1.2466861278869175,1.4608844152252232,-13.094993752474485,31.980330126037348,120.06471281730998,100,27.29467774514614,100,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.850000000000104,0.05,23.7257709503174,40.0327949523926,68.1763229370117,37.2894401550293,45.8617095947266,-0.3688553461354882,14.75849971833495,0.37175149382606454,0.928332282557323,-0.9283322825573231,0.3717514938260646,91.43168047610129,-1.4316804761012918,1.2631083516468689,-15.057098096170954,20.81339361043013,83.40199279081385,100,-0.5330874484184065,83.78666189013893,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.900000000000105,0.05,23.9541931152344,40.1320724487305,68.0993881225586,37.2894401550293,45.8617095947266,-0.34212588584341663,14.510013966753194,0.37299769117395126,0.9278322706065475,-0.9278322706065476,0.37299769117395126,91.35070427412845,-1.3507042741284465,1.0140468318500648,-14.11627605577715,10.559261034594487,41.05404305148364,100,-18.40705088698704,60.64409502536499,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
16.950000000000106,0.05,24.1377372741699,40.2117652893066,67.7990875244141,37.8368682861328,46.0424919128418,-0.22217074717486351,14.886712316707996,0.3778555319107955,0.9258645673123093,-0.9258645673123093,0.3778555319107955,90.85502432833546,-0.8550243283354604,1.3883700733601394,-8.780768886660207,37.315133896092114,116.70017378523647,100,50.04411490953565,99.2164206748328,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.000000000000107,0.05,24.3214054107666,40.2915840148926,67.2322998046875,37.8368682861328,46.0424919128418,-0.07237771435635398,14.687935180023123,0.38699583566969237,0.9220814623309137,-0.9220814623309139,0.38699583566969237,90.28233403453108,-0.2823340345310754,1.1881135067133908,-2.756688471381975,39.60749983264268,76.76796355085158,100,71.49627194541583,86.9337273851549,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.050000000000107,0.05,24.5537872314453,40.3924598693848,66.7661895751953,37.8368682861328,46.0424919128418,0.04813617247523183,14.434707731935145,0.39448422570637975,0.9189027128422455,-0.9189027128422455,0.39448422570637975,89.8089334850057,0.19106651499430427,0.934787992814055,2.1660918315764017,12.131344023201994,21.585925426816356,100,30.327745174817913,18.19763091799006,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
